Size_sqft,Price_CAD
1748,919167.7718293001
1430,768231.6841456385
1823,882181.5184960087
2261,1022053.1611147213
1382,737711.1656806795
1382,722474.2692710875
2289,1110359.6610013866
1883,934958.5900840985
1265,708477.6357659667
1771,831638.2394219716
1268,723069.7032817163
1267,666679.9802346199
1620,901763.0436312633
543,332740.6090955216
637,491598.1901582625
1218,647095.5391731324
993,514629.0998192776
1657,788605.708297284
1045,551982.634590284
793,488408.2973200958
2232,1068941.774401775
1387,676114.999803071
1533,761982.2703869508
787,571913.5179305932
1227,727177.1585050356
1555,793816.1834837015
924,521500.17390841
1687,830801.566335913
1199,660275.8986365208
1354,640460.3717400797
1199,616731.1731288327
2426,1036970.7963061205
1493,767161.1561302639
971,570759.796985137
1911,890240.6768850313
889,584299.3381645016
1604,730311.716849883
520,284781.255989509
835,495222.5909279986
1598,841554.9151306078
1869,981796.3845728934
1585,761055.786856553
1442,780734.0416715648
1349,687674.5765249647
760,445368.635002959
1140,650182.9968743336
1269,690216.143920671
2028,882380.3921507875
1671,892227.0174862947
618,466204.5677073726
1662,783521.8649245235
1307,692590.1766718704
1161,639101.5093141369
1805,885033.6882911953
2015,928484.742307729
1965,902418.8316030974
1080,580722.2964504277
1345,746636.4509629683
1665,843180.0077297216
1987,926269.2833956947
1260,692584.9355324173
1407,570372.8689684962
946,585838.2850186052
901,423414.31106109504
1906,894277.9529298434
2178,965216.5052686929
1463,670465.9262139547
2001,1008441.339368926
1680,798614.9399344054
1177,638125.1940865358
1680,819653.9710560408
2269,1081452.0413611562
1482,746641.0945530128
2282,998650.3887905715
1910,963813.340972357
1543,742512.1708419344
1350,612170.9050670124
1545,746594.2419517044
506,427437.9895317155
1390,748511.0871056747
1678,803767.3932796071
2238,1027737.1147840786
1240,629918.2474391309
1095,691837.3991780421
1249,668696.7726115776
1957,954302.0823595534
1664,867114.1727015921
1235,655939.4579513257
1756,839447.8927089649
1548,759382.507545751
1984,940019.9370292968
1148,607338.8881745079
1336,720781.477181849
1303,673797.294290365
768,493832.003860779
1648,805164.1709945708
1630,805931.7595158045
1502,650889.9657733946
1382,748616.383735124
792,484124.42379489966
1289,715500.5054929826
1328,536387.2310903155
1098,693618.7352390364
1419,710620.5185922413
1702,886209.1408368759
